apríl	April
frjótala	pollen count
frost	frost
frostmark	freezing-point
fyrradagur	the day before yesterday
fyrrakvöld	the evening of the day before yesterday
fyrramál	tomorrow morning
fyrravetur	last winter
fyrri	last year
fyrrinótt	the night before yesterday
félagi	partner
félagsheimili	community center
fólk	people
fólksbifreiðir	car
fólksbíll	car
fönn	snow
föstudagskvöld	Friday night
föstudagur	Friday
gamlársdagur	New Year's Eve
gata	street
gatnamóti	crossing
gestur	guest
geysissvæð	Geysir area
gil	gully
gosvirkni	volcanic activity
grasfrjó	grass pollen
grindavíkurhöfn	harbor of Grindavík
grjót	rocks
grjóthrun	falling rocks
gráða	degree
gær	yesterday
gærdagur	yesterday
gærkvöld	yesterday evening
gærmorgunn	yesterday morning
gærnótt	last night
göng	tunnel
göngufélagi	walking partner
hafnarbakki	quay
hafnarfjarðarbær	town of Hafnarfjörður
haust	autumn
haustveður	autumn weather
heiði	heath
heyskapartíð	time for haymaking
himinn	sky
hitabylgja	heatwave
hitameti	temperature record
hitastig	temperature
hiti	temperature
hjálparsveit	rescue team
hlaup	glacial river flood
hlaupastaður	running spot
hlýindi	warm weather
hraun	lava
hraungrýti	lava
hringvegur	ring road
hrun	collapse
hryðja	downpour
hríð	snowstorm
hundadagur	dog day
hvassviðri	strong wind
hver	hot spring
hviða	gust
hvítasunna	Whitsun
hvítasunnuhelgi	Whitsun weekend
hádegi	noon
hádegisbil	noon
hálendi	highland pasture
hálftími	half an hour
hálka	slippery ice
hæglætisveðri	calm weather
hægviðrur	calm weather
hætta	danger
hæð	altitude
hérað	district
hóll	hill
hólmi	islet
hópur	group
höfn	harbor
höfuðborg	capital
höfuðborgarbúur	capital citizen
höfuðborgarsvæði	capital area
hús	house
húseigandi	house owner
húsnæði	lodgings
innanlandsflug	domestic flight
innstrandavegur	inward beach road
innsveiti	inland
janúar	January
janúarmánuður	January
jarðeðlisfræðingur	geophysicist
jarðfræðingur	geologist
jarðskjálftakippur	earthquake
jarðskjálfti	earthquake
jarðskjálftur	earthquake
jeppabifreið	jeep
jeppamaður	jeep driver
jeppi	jeep
jól	Christmas
jólaveður	Christmas weather
jónsmessa	Midsummer's Day
jökulhlaupi	sub-glacial run-off
jökull	glacier
jökulrönd	glacier edge
jökulsá	glacial river
jökulá	glacial river
jörð	earth
júlí	July
júlímánuður	July
júní	June
júníhiti	June heat
kafari	diver
kaffileyti	around three o'clock
karlmaður	man
keflavíkurflugvöllur	Keflavík airport
kippur	tremor
klukka	clock
klukkustund	hour
klukkutími	hour
km	km
kona	woman
kraftur	force
krap	slush
krapaflóð	slush flood
krapaflóðahætta	slush flood danger
krapaflóði	slush flood
krapaskriða	slush landslide
krapi	slush
kuldakast	cold snap
kuldatíð	cold winter
kuldi	cold weather
kvöld	evening
kvöldmatarleyti	around dinner
kílómetri	km
kötluhlaupi	Katla's glacial river flood
land	land
landgrunn	continental shelf
landhelgisgæsla	coast guard
landsbrot	land fracture
landshluti	part of the country
landsmaður	inhabitat
landsvæði	territory
langtímaspái	long-term weather forecast
langtímaveðurspá	long-term weather forecast
laugardagskvöld	Saturday evening
laugardagsmorgunn	Saturday morning
laugardagur	Saturday
leitarhundur	search dog
leitarhópur	search group
leitarskilyrði	search conditions
leitarstarf	search
leitarsvæði	search area
leiti	place
leyti	time
loft	air
lofthiti	air temperature
loftslagsbreyting	climate change
loftstraumur	air stream
láglendi	lowlands
lægð	low-pressure
lækjarbakki	river bank
lækur	river
lón	lagoon
lögregla	police
lögreglujeppi	police jeep
lögreglumaður	policeman
lögreglustjóri	chief of police
m	m
mars	March
marsmánuður	March
maí	May
maímánuður	May
maður	man
meginland	mainland
mengun	pollution
methiti	record temperature
metri	m
meðalhiti	average temperature
meðallag	average
meðaltal	average
meðalvindhraði	average wind speed
meðalvindur	average wind
meðalár	average year
millilandaflugi	international flight
miðborg	city center
miðbær	city center
miðnætti	midnight
miðvikudagskvöld	Wednesday evening
miðvikudagur	Wednesday
mm	mm
morgundagur	tomorrow
morgunn	morning
morgunsár	morning
mánaðamót	end of the month
mánudagsmorgunn	Monday morning
mánudagur	Monday
mánuður	month
mínúta	minute
na-strönd	northeast coast
norðanátt	north wind
norðaustanátt	north wind
norðaustur-	northeast
norðausturhorn	northeast corner
norðausturland	the Northeast of the country
norðurhluti	northern part
norðurland	North of the country
norðurströnd	northern coast
norðvestanland	Northwest of the country
norðvesturhluti	northwestern part
nágrenni	neighbourhood
nótt	night
nóvember	November
ofanflóði	avalanche
ofankoma	downfall
ofsaveður	gale
október	October
októbermánuður	October
pallbíll	pick-up truck
páskahelgi	Easter weekend
páskar	Easter
reykjavíkurflugvöllur	Reykjavík airport
reykur	smoke
reykvíkingur	person from Reykjavík
richter	Richter
rigning	rain
rofmáttur	erosion force
rok	storm
ráðhústorg	town hall square
rúta	bus
sekúnda	second
september	September
septembermánuður	September
sexleyti	around six o'clock
sina	withered grass
sinubrunur	withered grass fire
sjómannadagur	Fisherman's Festival
sjór	sea
sjöleyti	around seven o'clock
sjúklingur	patient
sjúkrahús	hospital
skafl	snowdrift
skafrenningur	drifting snow
skemmd	damage
skip	ship
skipstjóri	ship's captain
skipverji	crew member
skjálftahrina	wave of earthquakes
skjálftamælur	seismograph
skjálftasvæði	earthquake area
skjálftavirkni	seismic activity
skjálfti	earthquake
skotveiðimaður	hunter
skriða	landslide
skálavörður	lodge warden
skáli	lodge
skógur	forest
skúr	rain shower
slydduélja	sleety hail
slys	accident
slysadeild	casualty ward
slysstaður	accident site
slökkvilið	fire brigade
slökkviliðsmaður	fireman
smáskjálfti	small earthquake
snjóathugunarmaður	snow observer
snjóflóð	avalanche
snjóflóðahætta	avalanche danger
snjóflóðasvæði	avalanche area
snjóflóði	avalanche
snjókoma	snow
snjómælingamaður	snow measurer
snjór	snow
snjóþyngsli	heavy snow
sprenging	explosion
sprunga	crack
sprunguveggur	fissure wall
spá	weather forecast
spákort	weather forecast
starfsmaður	employee
staðsetning	location
staður	place
stig	degrees
stjörnufræðingur	astronomer
stormur	storm
strekkingsvindur	strong wind
strekkingur	strong wind
strengur	blast of wind
strætisvagn	bus
strönd	coast
styrkur	force
stærð	size
stórgrýti	large rocks
stórhríðaveður	heavy snowstorm
stórtjón	massive damage
stórviðri	bad weather
stöð	station
sumar	summer
sumardagur	summer day
sumarfæri	summer driving conditions
sumarveður	summer weather
sunnanátt	south wind
sunnudagskvöld	Sunday evening
sunnudagur	Sunday
suðausturland	Southeast part of the country
suðausturströnd	southeastern coast
suður	south
suðurland	South part of the country
suðurleið	southbound
suðvestanátt	southwest wind
suðvestur	southwest
suðvesturhorn	southwest part
suðvesturland	southwest part of the country
sveit	country
sveitarfélag	community
sveitarstjóri	director of local council
svæði	area
sær	sea
síðdegi	afternoon
síðdegisskúr	afternoon rain shower
síðdegisskúrir	afternoon rain shower
sól	sun
sólarglenna	sun gleam
sólarglæta	sun gleam
sólarhringur	24 hours
sólbaðsveður	sunbathing weather
sólskin	sunshine
sólskinsstund	sunshine hour
súld	drizzle
tilfelli	case
tilkynning	announcement
tilvik	case
tindur	peak
tjaldgestur	tent guest
tjónamat	damage valuation
tjörn	pond
togari	trawler
toppur	top
tvöleyti	around two o'clock
tímabil	period
tími	time
tíuleyti	around ten o'clock
tíðarfar	weather conditions
tún	hayfield
umbrot	convulsion
umferð	traffic
umferðarslys	traffic accident
umferðaróhapp	traffic accident
umhverfi	environment
uppsveit	up country
vagn	wagon
vald	control
varnarlið	defence force
varðstjóri	watch officer
vatn	water
vatnavöxtur	flood
vatnsflaumur	water torrent
vegagerðarmaður	road construction employee
vegfarandi	passer-by
vegur	road
velta	roll
verslunarmannahelgi	Merchant's weekend
vestfirðir	West Fjords
vesturbær	West town
vesturland	West of the country
vetrarlag	winter
vettvangur	scene
vetur	winter
veður	weather
veðurblíða	good weather
veðurfar	weather conditions
veðurfarslýsing	weather conditions description
veðurfræði	meteorology
veðurfræðingur	meteorologist
veðurhamur	bad weather
veðurhæð	weather altitude
veðurkort	weather map
veðurlag	weather
veðurofsi	bluster
veðurskilyrði	weather conditions
veðurspá	weather forecast
veðurstofa	meteorological institute
veðurstofan	meteorological institute
veðurstofustjóri	director of meteorological institute
vika	week
vindhraði	wind speed
vindhviða	gust of wind
vindstyrkur	wind strength
vindur	wind
virkni	activity
viðmælandi	person spoken to
viðvörun	warning
viðvörunarskilti	warning sign
von	expectation
vonskuveður	bad weather
vor	spring
væta	rain
vöruflutningabíll	truck
vöruflutningaflugi	goods transport flight
yfirlögregluþjónn	head policeman
yfirmaður	boss
á	river
ábúandi	occupant
áfallahjálp	crisis councelling
áfangastaður	destination
ágúst	August
ágústmánuður	August
áhöfn	crew
ár	year
árekstur	collision
árstími	time of year
árstíð	season
átakaveður	bad weather
átt	direction
él	hail
íbúi	resident
íbúð	apartment
íkveikja	arson
ís	ice
ísing	glare ice
ísland	Iceland
íslendingur	Icelander
ófærð	bad conditions for travelling
óhapp	accident
ókyrrð	turbulence
ólafsvíkurkirkja	church of Ólafsvík
óróahviða	gust of wind
óveður	storm
óviðrur	storm
ökumaður	driver
ökutæki	vehicle
önn	term
öskudagur	Ash Wednesday
öskufall	shower of ash
úrfelli	downfall
úrhelli	downfall
úrkoma	precipitation
þjóðhátíðardagur	independence day
þjóðvegur	highway
þoka	fog
þokuloft	fog
þorri	fourth month of winter
þriðjudagskvöld	Tuesday evening
þriðjudagur	Tuesday
þrjúleyti	around three o'clock
þruma	thunder
þrýstingur	pressure
þykkt	thickness
þyrla	helicopter
núll	0
einn	1
tveir	2
þrír	3
fjórir	4
fimm	5
sex	6
sjö	7
átta	8
níu	9
tíu	10
ellefu	11
tólf	12
þrettán	13
fjórtán	14
fimmtán	15
sextán	16
sautján	17
átján	18
nítján	19
tuttugu	20
þrjátíu	30
fjörutíu	40
fimmtíu	50
sextíu	60
sjötíu	70
áttatíu	80
níutíu	90
hundrað	100
þúsund	thousand
milljón	million
